# gunzip -c exp_FG/tri_8_2000_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_bigram 
# Started at Tue Aug 27 20:24:42 IST 2024
#
Overall, n_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,19) frames.
Overall, i_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.2,31) frames.
Overall, ng_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.5,23) frames.
Overall, r_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
Overall, oo_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.4,26) frames.
Overall, o_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, zh_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,13) frames.
Overall, s_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,21) frames.
The optional-silence phone sil occupies 23.7% of frames overall 
Limiting the stats to the 82.4% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 8.4% of frames.
Assuming 100 frames per second, the alignments represent 12.7 hours of data, or 9.7 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 5.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (14,16.1,37)
# Accounting: time=1 threads=1
# Ended (code 0) at Tue Aug 27 20:24:43 IST 2024, elapsed time 1 seconds
